index,label
0,3
1,4
2,4
3,0
4,3
5,2
6,0
7,3
8,3
9,2
10,0
11,0
12,4
13,3
14,3
15,3
16,2
17,3
18,1
19,3
20,5
21,3
22,4
23,6
24,3
25,3
26,6
27,3
28,2
29,4
30,3
31,6
32,0
33,4
34,2
35,0
36,1
37,5
38,4
39,4
40,3
41,6
42,6
43,4
44,3
45,3
46,2
47,5
48,3
49,4
50,5
51,3
52,0
53,2
54,1
55,4
56,6
57,3
58,2
59,2
60,0
61,0
62,0
63,4
64,2
65,0
66,4
67,5
68,2
69,6
70,5
71,2
72,2
73,2
74,0
75,4
76,5
77,6
78,4
79,0
80,0
81,0
82,4
83,2
84,4
85,1
86,4
87,6
88,0
89,4
90,2
91,4
92,6
93,6
94,0
95,0
96,6
97,5
98,0
99,6
100,0
101,2
102,1
103,1
104,1
105,2
106,6
107,5
108,6
109,1
110,2
111,2
112,1
113,5
114,5
115,5
116,6
117,5
118,6
119,5
120,5
121,1
122,6
123,6
124,1
125,5
126,1
127,6
128,5
129,5
130,5
131,1
132,5
133,1
134,1
135,1
136,1
137,1
138,1
139,1
